national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_261;973611201;"https://www.openstreetmap.org/way/973611201";Route Lemoine;path;null;
V94160_262;979577817;"https://www.openstreetmap.org/way/979577817";null;footway;null;
V94160_263;979577818;"https://www.openstreetmap.org/way/979577818";null;steps;null;
V94160_264;979577819;"https://www.openstreetmap.org/way/979577819";null;footway;null;
V94160_265;979577820;"https://www.openstreetmap.org/way/979577820";null;footway;null;
V94160_266;979577821;"https://www.openstreetmap.org/way/979577821";null;steps;null;
V94160_267;979577822;"https://www.openstreetmap.org/way/979577822";null;footway;null;
V94160_268;979577823;"https://www.openstreetmap.org/way/979577823";null;steps;null;
V94160_269;979577824;"https://www.openstreetmap.org/way/979577824";null;footway;null;
V94160_270_D-158;995552406;"https://www.openstreetmap.org/way/995552406";Avenue du Général de Gaulle;secondary;30;
V94160_271;1001581316;"https://www.openstreetmap.org/way/1001581316";Avenue Victor Hugo;secondary;30;
V94160_272;1001581317;"https://www.openstreetmap.org/way/1001581317";null;service;null;
V94160_273;1026557005;"https://www.openstreetmap.org/way/1026557005";Villa André Moynet;service;null;
V94160_274;1035010641;"https://www.openstreetmap.org/way/1035010641";Avenue Pasteur;footway;30;
V94160_275;1056394621;"https://www.openstreetmap.org/way/1056394621";null;service;null;
V94160_276;368077;"https://www.openstreetmap.org/way/368077";null;null;null;
V94160_277;249624245;"https://www.openstreetmap.org/way/249624245";null;null;null;
V94160_278;429171982;"https://www.openstreetmap.org/way/429171982";null;null;null;
V94160_279;556195107;"https://www.openstreetmap.org/way/556195107";null;null;null;
V94160_280;612427963;"https://www.openstreetmap.org/way/612427963";null;null;null;
V94160_281;1741939410;"https://www.openstreetmap.org/way/1741939410";null;null;null;
V94160_282;5731039893;"https://www.openstreetmap.org/way/5731039893";null;null;null;
V94160_283;5893511736;"https://www.openstreetmap.org/way/5893511736";null;null;null;
V94160_284;7031730711;"https://www.openstreetmap.org/way/7031730711";null;null;null;
V94160_285;17975359;"https://www.openstreetmap.org/way/17975359";null;null;null;
V94160_286;17975360;"https://www.openstreetmap.org/way/17975360";null;null;null;
V94160_287;17975361;"https://www.openstreetmap.org/way/17975361";null;null;null;
V94160_288;246553186;"https://www.openstreetmap.org/way/246553186";null;null;null;
V94160_289;246553187;"https://www.openstreetmap.org/way/246553187";null;null;null;
V94160_290;269269841;"https://www.openstreetmap.org/way/269269841";null;null;null;
V94160_291;269269842;"https://www.openstreetmap.org/way/269269842";null;null;null;
V94160_292;269269843;"https://www.openstreetmap.org/way/269269843";null;null;null;
V94160_293;269269844;"https://www.openstreetmap.org/way/269269844";null;null;null;
V94160_294;269269845;"https://www.openstreetmap.org/way/269269845";null;null;null;
V94160_295;269269846;"https://www.openstreetmap.org/way/269269846";null;null;null;
V94160_296;269269847;"https://www.openstreetmap.org/way/269269847";null;null;null;
V94160_297;269269849;"https://www.openstreetmap.org/way/269269849";null;null;null;
V94160_298;269269850;"https://www.openstreetmap.org/way/269269850";null;null;null;
V94160_299;429171977;"https://www.openstreetmap.org/way/429171977";null;null;null;
V94160_300;429171983;"https://www.openstreetmap.org/way/429171983";null;null;null;
V94160_301;429171984;"https://www.openstreetmap.org/way/429171984";null;null;null;
V94160_302;429171985;"https://www.openstreetmap.org/way/429171985";null;null;null;
V94160_303;429171986;"https://www.openstreetmap.org/way/429171986";null;null;null;
V94160_304;429171987;"https://www.openstreetmap.org/way/429171987";null;null;null;
V94160_305;429171988;"https://www.openstreetmap.org/way/429171988";null;null;null;
V94160_306;429171989;"https://www.openstreetmap.org/way/429171989";null;null;null;
V94160_307;429171990;"https://www.openstreetmap.org/way/429171990";null;null;null;
V94160_308;499645295;"https://www.openstreetmap.org/way/499645295";null;null;null;
V94160_309;556469650;"https://www.openstreetmap.org/way/556469650";null;null;null;
V94160_310;556469737;"https://www.openstreetmap.org/way/556469737";null;null;null;
V94160_311;1555391477;"https://www.openstreetmap.org/way/1555391477";null;null;null;
V94160_312;1643489686;"https://www.openstreetmap.org/way/1643489686";null;null;null;
V94160_313;2670591218;"https://www.openstreetmap.org/way/2670591218";null;null;null;
V94160_314;2670591250;"https://www.openstreetmap.org/way/2670591250";null;null;null;
V94160_315;2680781375;"https://www.openstreetmap.org/way/2680781375";null;null;null;
V94160_316;2850584073;"https://www.openstreetmap.org/way/2850584073";null;null;null;
V94160_317;2850584098;"https://www.openstreetmap.org/way/2850584098";null;null;null;
V94160_318;2850587354;"https://www.openstreetmap.org/way/2850587354";null;null;null;
V94160_319;3463368684;"https://www.openstreetmap.org/way/3463368684";null;null;null;
V94160_320;3986592476;"https://www.openstreetmap.org/way/3986592476";null;null;null;
V94160_321;5530426108;"https://www.openstreetmap.org/way/5530426108";null;null;null;
V94160_322;5530426109;"https://www.openstreetmap.org/way/5530426109";null;null;null;
V94160_323;5530426112;"https://www.openstreetmap.org/way/5530426112";null;null;null;
